日期,累积收益率
2010-07-20,"['600066' '000049' '002304' '002035' '000848' '002236' '000811' '300015'
 '002032' '600406']"
2010-07-21,"['600066' '000049' '002304' '002035' '000848' '600406' '002236' '000811'
 '300015' '002032']"
2010-07-22,"['600066' '000049' '002304' '002035' '000848' '600406' '002236' '000811'
 '300015' '000559']"
2010-07-23,"['600066' '000049' '002304' '000848' '002035' '300015' '600406' '002236'
 '000811' '000559']"
2010-07-26,"['600066' '000049' '002304' '000848' '002035' '600406' '002236' '300015'
 '002032' '000559']"
2010-07-27,"['600066' '000049' '002304' '002035' '000848' '600406' '002236' '000811'
 '300015' '002294']"
2010-07-28,"['600066' '000049' '002035' '002304' '600406' '000848' '002236' '002294'
 '300015' '002032']"
2010-07-29,"['600066' '000049' '002035' '002304' '600406' '000848' '300015' '002236'
 '002294' '000559']"
2010-07-30,"['600066' '000049' '002035' '002304' '002236' '000848' '600406' '300015'
 '002294' '000559']"
2010-08-02,"['600066' '000049' '002304' '002035' '000848' '002236' '600406' '002294'
 '002081' '300015']"
2010-08-03,"['000049' '002304' '002035' '000848' '002236' '600066' '600406' '002081'
 '300015' '000811']"
2010-08-04,"['000049' '002304' '002035' '000848' '002236' '002081' '600406' '000559'
 '300015' '000811']"
2010-08-05,"['000049' '002035' '000848' '002304' '002236' '002081' '600406' '000703'
 '600563' '000596']"
2010-08-06,"['000049' '002035' '002304' '000848' '002236' '600406' '000559' '002081'
 '002190' '000703']"
2010-08-09,"['000049' '002035' '002304' '000848' '002236' '000559' '600406' '002190'
 '002081' '300015']"
2010-08-10,"['000049' '002236' '002304' '000848' '002035' '002190' '600406' '000559'
 '002081' '000703']"
2010-08-11,"['000049' '002236' '002304' '002035' '002190' '000848' '000559' '600406'
 '002081' '002310']"
2010-08-12,"['000049' '002236' '002304' '000848' '002035' '002190' '000559' '002081'
 '600406' '002310']"
2010-08-13,"['000049' '002236' '002304' '002035' '000848' '002190' '000559' '600406'
 '002081' '002310']"
2010-08-16,"['000049' '002304' '002236' '002035' '000848' '002081' '000559' '002190'
 '600406' '000811']"
2010-08-17,"['000049' '002304' '002236' '002035' '002190' '000848' '002081' '000559'
 '600406' '600335']"
2010-08-18,"['000049' '002304' '002190' '600406' '002035' '000848' '002081' '002236'
 '000559' '002310']"
2010-08-19,"['000049' '002304' '002190' '002236' '002035' '600406' '002081' '000848'
 '000559' '600335']"
2010-08-20,"['000049' '002190' '002304' '600406' '002236' '002035' '002081' '000848'
 '600335' '000559']"
2010-08-23,"['000049' '002304' '600406' '002236' '002035' '000703' '000848' '002081'
 '600335' '000559']"
2010-08-24,"['000049' '002304' '002035' '002236' '600406' '000559' '002081' '000703'
 '000848' '600335']"
2010-08-25,"['000049' '002236' '600335' '600406' '002304' '002081' '000559' '000848'
 '002035' '000703']"
2010-08-26,"['000049' '002236' '002035' '002304' '000559' '002081' '600406' '000703'
 '000848' '600335']"
2010-08-27,"['000049' '002236' '002304' '002035' '002081' '002310' '000703' '000559'
 '000848' '600406']"
2010-08-30,"['000049' '002190' '002236' '002304' '002035' '000559' '002081' '000703'
 '000848' '002310']"
2010-08-31,"['000049' '002190' '002236' '002304' '002035' '000703' '002310' '000559'
 '002081' '000848']"
2010-09-01,"['000049' '002190' '002236' '002304' '000703' '002035' '002310' '002081'
 '000848' '600406']"
2010-09-02,"['000049' '002236' '002304' '000703' '002035' '002081' '600406' '000848'
 '000559' '600335']"
2010-09-03,"['000049' '002236' '000703' '002035' '600406' '000559' '000848' '002304'
 '002081' '002310']"
2010-09-06,"['000049' '000703' '002236' '002035' '600406' '002304' '000848' '002081'
 '000559' '600335']"
2010-09-07,"['000049' '000703' '002035' '600406' '002304' '000559' '000848' '002081'
 '600335' '600346']"
2010-09-08,"['000049' '000703' '600406' '002035' '002236' '000559' '000848' '002081'
 '002304' '600335']"
2010-09-09,"['002190' '000049' '000703' '600406' '002035' '002236' '000559' '002304'
 '000848' '002081']"
2010-09-10,"['000049' '002190' '000703' '002035' '600406' '002236' '000848' '002304'
 '000559' '002081']"
